,pred
2018-08-03 00:00:00,30747.998
2018-08-03 01:00:00,28575.041
2018-08-03 02:00:00,27978.014
2018-08-03 03:00:00,27365.34
2018-08-03 04:00:00,26971.217
2018-08-03 05:00:00,27070.607
2018-08-03 06:00:00,28074.92
2018-08-03 07:00:00,29369.697
2018-08-03 08:00:00,32282.082
2018-08-03 09:00:00,34055.312
2018-08-03 10:00:00,35640.23
2018-08-03 11:00:00,38493.484
2018-08-03 12:00:00,39992.824
2018-08-03 13:00:00,41573.69
2018-08-03 14:00:00,42482.523
2018-08-03 15:00:00,43312.066
2018-08-03 16:00:00,43500.94
2018-08-03 17:00:00,44381.746
2018-08-03 18:00:00,43857.723
2018-08-03 19:00:00,42805.94
2018-08-03 20:00:00,41199.76
2018-08-03 21:00:00,40305.754
2018-08-03 22:00:00,39476.96
2018-08-03 23:00:00,36539.586
2018-08-04 00:00:00,31660.848
2018-08-04 01:00:00,28381.764
2018-08-04 02:00:00,27799.451
2018-08-04 03:00:00,27369.146
2018-08-04 04:00:00,26873.443
2018-08-04 05:00:00,26714.006
2018-08-04 06:00:00,26796.768
2018-08-04 07:00:00,27334.832
2018-08-04 08:00:00,29014.365
2018-08-04 09:00:00,30843.525
2018-08-04 10:00:00,32589.38
2018-08-04 11:00:00,34224.48
2018-08-04 12:00:00,36197.574
2018-08-04 13:00:00,37318.934
2018-08-04 14:00:00,37976.508
2018-08-04 15:00:00,38452.582
2018-08-04 16:00:00,38750.01
2018-08-04 17:00:00,38844.74
2018-08-04 18:00:00,38844.74
2018-08-04 19:00:00,38751.98
2018-08-04 20:00:00,37382.418
2018-08-04 21:00:00,36425.01
2018-08-04 22:00:00,34655.105
2018-08-04 23:00:00,33363.72
2018-08-05 00:00:00,29530.525
2018-08-05 01:00:00,27282.273
2018-08-05 02:00:00,26065.08
2018-08-05 03:00:00,25246.996
2018-08-05 04:00:00,24661.54
2018-08-05 05:00:00,24248.52
2018-08-05 06:00:00,24302.51
2018-08-05 07:00:00,24153.168
2018-08-05 08:00:00,25159.76
2018-08-05 09:00:00,27114.482
2018-08-05 10:00:00,28855.19
2018-08-05 11:00:00,30924.36
2018-08-05 12:00:00,33073.867
2018-08-05 13:00:00,34028.367
2018-08-05 14:00:00,34787.277
2018-08-05 15:00:00,35291.023
2018-08-05 16:00:00,36072.184
2018-08-05 17:00:00,37188.293
2018-08-05 18:00:00,37881.254
2018-08-05 19:00:00,37730.957
2018-08-05 20:00:00,36801.31
2018-08-05 21:00:00,36402.996
2018-08-05 22:00:00,35077.91
2018-08-05 23:00:00,33403.617
2018-08-06 00:00:00,28981.215
2018-08-06 01:00:00,27760.629
2018-08-06 02:00:00,26896.0
2018-08-06 03:00:00,26238.787
2018-08-06 04:00:00,26025.79
2018-08-06 05:00:00,26311.492
2018-08-06 06:00:00,27535.697
2018-08-06 07:00:00,29035.67
2018-08-06 08:00:00,31708.48
2018-08-06 09:00:00,33078.727
2018-08-06 10:00:00,34401.633
2018-08-06 11:00:00,36098.35
2018-08-06 12:00:00,37317.285
2018-08-06 13:00:00,38673.48
2018-08-06 14:00:00,38979.617
2018-08-06 15:00:00,38851.7
2018-08-06 16:00:00,38602.77
2018-08-06 17:00:00,38521.605
2018-08-06 18:00:00,38488.957
2018-08-06 19:00:00,37973.41
2018-08-06 20:00:00,37920.637
2018-08-06 21:00:00,37524.566
2018-08-06 22:00:00,36029.8
2018-08-06 23:00:00,33723.715
2018-08-07 00:00:00,28970.508
2018-08-07 01:00:00,27770.982
2018-08-07 02:00:00,27020.816
2018-08-07 03:00:00,26368.004
2018-08-07 04:00:00,25851.957
2018-08-07 05:00:00,26296.28
2018-08-07 06:00:00,27721.914
2018-08-07 07:00:00,29279.271
2018-08-07 08:00:00,31738.295
2018-08-07 09:00:00,33141.8
2018-08-07 10:00:00,34314.562
2018-08-07 11:00:00,35832.387
2018-08-07 12:00:00,37475.83
2018-08-07 13:00:00,39039.66
2018-08-07 14:00:00,40197.586
2018-08-07 15:00:00,40737.027
2018-08-07 16:00:00,41316.035
2018-08-07 17:00:00,41682.473
2018-08-07 18:00:00,41757.19
2018-08-07 19:00:00,41382.504
2018-08-07 20:00:00,40554.27
2018-08-07 21:00:00,39882.24
2018-08-07 22:00:00,38427.473
2018-08-07 23:00:00,34923.54
2018-08-08 00:00:00,30524.936
2018-08-08 01:00:00,28815.88
2018-08-08 02:00:00,27249.932
2018-08-08 03:00:00,26538.393
2018-08-08 04:00:00,26258.17
2018-08-08 05:00:00,26313.178
2018-08-08 06:00:00,27292.91
2018-08-08 07:00:00,29703.191
2018-08-08 08:00:00,31955.39
2018-08-08 09:00:00,32941.797
2018-08-08 10:00:00,34819.89
2018-08-08 11:00:00,37135.47
2018-08-08 12:00:00,38965.715
2018-08-08 13:00:00,40120.973
2018-08-08 14:00:00,40923.336
2018-08-08 15:00:00,41933.152
2018-08-08 16:00:00,42799.152
2018-08-08 17:00:00,43337.137
2018-08-08 18:00:00,43337.137
2018-08-08 19:00:00,42932.06
2018-08-08 20:00:00,41206.152
2018-08-08 21:00:00,40844.965
2018-08-08 22:00:00,39632.895
2018-08-08 23:00:00,37118.594
2018-08-09 00:00:00,30608.127
2018-08-09 01:00:00,29701.611
2018-08-09 02:00:00,28530.123
2018-08-09 03:00:00,27888.98
2018-08-09 04:00:00,27059.283
2018-08-09 05:00:00,27154.834
2018-08-09 06:00:00,28480.227
2018-08-09 07:00:00,30212.17
2018-08-09 08:00:00,32009.416
2018-08-09 09:00:00,33868.883
2018-08-09 10:00:00,36385.605
2018-08-09 11:00:00,37944.34
2018-08-09 12:00:00,39477.89
2018-08-09 13:00:00,40618.137
2018-08-09 14:00:00,41667.367
2018-08-09 15:00:00,42295.434
2018-08-09 16:00:00,42895.16
2018-08-09 17:00:00,42932.06
2018-08-09 18:00:00,42932.06
2018-08-09 19:00:00,42297.535
2018-08-09 20:00:00,40871.98
2018-08-09 21:00:00,40247.605
2018-08-09 22:00:00,39420.066
2018-08-09 23:00:00,37118.992
